key,time,all_swamps___total_rabbits
0-0,971,150.139513152
0-0,972,145.541924458
0-0,973,172.007227085
0-0,974,215.987911945
0-0,975,278.597145471
0-0,976,359.332789616
0-0,977,448.592180531
0-0,978,520.033308156
0-0,979,534.612059978
0-0,980,473.002557452
0-0,981,366.191743122
0-0,982,264.88234507
0-0,983,193.408193666
0-0,984,150.697554307
0-0,985,128.817227467
0-0,986,121.758140572
0-0,987,126.846370409
0-0,988,144.390812732
0-0,989,177.599560008
0-0,990,233.199266396
0-0,991,322.928826668
0-0,992,466.394045557
0-0,993,697.284077629
0-0,994,1080.90455263
0-0,995,1768.06061073
0-0,996,3133.48855379
0-0,997,6020.14230067
0-0,998,11824.7947812
0-0,999,17524.4755301
0-0,1000,3442.51344948
0-0,1001,303.699623411
0-0,1002,135.881759902
0-0,1003,124.067177812
0-0,1004,133.974743188
0-0,1005,156.880813105
0-0,1006,194.074174239
0-0,1007,248.463029179
0-0,1008,321.707026911
0-0,1009,409.347643841
0-1,1010,279.509066287
0-1,1011,238.805616718
0-1,1012,256.159672461
0-1,1013,277.062089849
0-1,1014,293.673724846
0-1,1015,301.946589172
0-1,1016,299.433021234
0-1,1017,286.103331883
0-1,1018,264.566025732
0-1,1019,239.036163615
0-1,1020,213.697881048
0-1,1021,191.538601375
0-1,1022,174.101875343
0-1,1023,161.855877905
0-1,1024,154.702210111
0-1,1025,152.360071698
0-1,1026,154.571130139
0-1,1027,161.168010784
0-1,1028,172.04833174
0-1,1029,187.073530651
0-1,1030,205.897891662
0-1,1031,227.729695109
0-1,1032,251.05941221
0-1,1033,273.46228691
0-1,1034,291.681212922
0-1,1035,302.237428288
0-1,1036,302.622665368
0-1,1037,292.631824084
0-1,1038,274.976577
0-1,1039,254.686911674
0-1,1040,237.883255109
0-1,1041,231.169318637
0-1,1042,242.529934832
0-1,1043,284.047040069
0-1,1044,376.899315016
0-1,1045,560.078262757
0-1,1046,905.915963811
0-1,1047,1548.07634919
0-1,1048,2731.25904586
0-1,1049,4892.99653106
0-1,1050,8746.54512984
0-1,1051,14720.8635241
0-1,1052,13839.4706307
0-1,1053,1743.70820257
0-1,1054,380.348029412
0-1,1055,308.811636439
0-1,1056,302.938226905
0-1,1057,292.402386655
0-1,1058,273.248001361
0-1,1059,248.612404231
0-1,1060,222.76180264
0-1,1061,199.176659224
0-1,1062,179.90321683
0-1,1063,165.742060922
0-1,1064,156.748270869
0-1,1065,152.673452427
0-1,1066,153.23614912
0-1,1067,158.233166703
0-1,1068,167.545786589
0-1,1069,181.063258845
0-1,1070,198.536413322
0-1,1071,219.362565972
0-1,1072,242.315262473
0-1,1073,265.297314393
0-1,1074,285.282519322
0-1,1075,298.699715916
0-1,1076,302.405290879
0-1,1077,295.010089651
0-1,1078,277.777716645
0-1,1079,254.317067191
0-1,1080,229.177622937
0-1,1081,206.369686137
0-1,1082,188.717025849
0-1,1083,178.140562222
0-1,1084,176.496047107
0-1,1085,186.703162074
0-1,1086,214.269322653
0-1,1087,269.694260589
0-1,1088,372.691253574
0-1,1089,559.895407729
0-1,1090,899.051643248
0-1,1091,1514.97955754
0-1,1092,2636.12256672
0-1,1093,4672.52310789
0-1,1094,8305.78722684
0-1,1095,14114.631502
0-1,1096,15208.2978135
0-1,1097,2303.16982052
0-1,1098,402.982002407
0-1,1099,269.030842104
0-1,1100,233.663122274
0-1,1101,207.708281819
0-1,1102,186.481058126
0-1,1103,170.355422187
0-1,1104,159.469424833
0-1,1105,153.618400138
0-1,1106,152.505713662
0-1,1107,155.892095908
0-1,1108,163.631636829
0-1,1109,175.622922475
0-1,1110,191.688609658
